,0
0,Общие остатки можно загружать через API
1,"Новинки в кабинете: состав платежа в деталях, акт сверки и вебинар по 1С для бухгалтеров"
2,В рекламных кампаниях появилась доля показов для рекомендованных ставок
3,Вы предложили — мы сделали
4,Получайте больше заказов благодаря постоплате
5,О работе с подменными номерами
6,Работайте по любой модели в мобильном приложении на Android
7,Экономьте на логистике благодаря поставкам через транзитные склады
8,Новые рекомендации ставок в рекламных кампаниях для продавцов
9,Промокоды за работу над контентом: продолжаем акцию
